groupe_d_ages,region,sexe,nationalite,population_au_01_janvier_2000,population_au_01_janvier_2001,population_au_01_janvier_2002,population_au_01_janvier_2003,population_au_01_janvier_2004,population_au_01_janvier_2005,population_au_01_janvier_2006,population_au_01_janvier_2007,population_au_01_janvier_2008,population_au_01_janvier_2009,population_au_01_janvier_2010,population_au_01_janvier_2011,population_au_01_janvier_2012,population_au_01_janvier_2013,population_au_01_janvier_2014,population_au_01_janvier_2015,population_au_01_janvier_2016,population_au_01_janvier_2017,population_au_01_janvier_2018,population_au_01_janvier_2019
Moins de 18 ans,Région wallonne,Femmes,Belges,340957,343712,346729,347421,348034,348262,348446,348595,348028,347587,346560,346378,346531,347573,347894,346899,346082,344691,343354,341055
Moins de 18 ans,Région wallonne,Femmes,non-Belges,21577,19243,17857,17266,16842,16593,17259,17836,18139,18085,19072,20217,21612,22143,22263,23144,24078,25046,25657,26349
Moins de 18 ans,Région wallonne,Hommes,Belges,357347,360148,362624,363776,364393,364763,364810,364435,363937,363872,362614,362611,362264,362962,363330,362824,361807,360583,358889,356557
Moins de 18 ans,Région wallonne,Hommes,non-Belges,22491,20228,18689,17926,17515,17119,17748,18268,18907,18884,19741,21020,22481,22941,23146,23999,24900,26246,27099,27794
De 18 à 64 ans,Région wallonne,Femmes,Belges,908774,914880,920256,924961,929667,935709,943116,953302,962667,970503,978098,985389,986221,987031,986051,984423,982749,981228,979557,978186
De 18 à 64 ans,Région wallonne,Femmes,non-Belges,109855,106613,104636,104191,104280,104428,105932,107796,109849,111367,113303,116235,117421,117057,117626,119514,121739,123527,124891,126291
De 18 à 64 ans,Région wallonne,Hommes,Belges,889685,896708,903113,908008,913614,920080,927066,937349,945852,953520,961344,970011,971277,972305,972020,971715,971935,972072,972165,972582
De 18 à 64 ans,Région wallonne,Hommes,non-Belges,128461,123608,121436,120131,119422,118879,119375,120321,121987,123090,124616,126722,127578,127072,127038,127440,128137,129507,129987,130401
65 ans et plus,Région wallonne,Femmes,Belges,314123,313808,314005,313790,313885,314814,313822,311758,310324,310360,311337,312750,318807,324359,329608,334865,339140,343742,348549,353664
65 ans et plus,Région wallonne,Femmes,non-Belges,25578,26187,26578,26986,27588,28222,28762,29035,29283,29537,29914,30089,30352,30535,30923,31198,31528,31904,32194,32484
65 ans et plus,Région wallonne,Hommes,Belges,198783,199249,200362,201229,202444,203952,204140,203500,203567,204868,207268,209475,216605,223361,230080,236588,242312,247430,252713,258344
65 ans et plus,Région wallonne,Hommes,non-Belges,21885,22073,22275,22565,22814,23121,23502,23684,23816,23998,24517,24643,25180,25721,26346,27135,27809,28497,29322,30088
